PLAYER	POS	TEAM	GP	MPG	FG%	FGM	FGA	zFG%	FT%	FTM	FTA	zFT%	3PM	z3PM	PTS	zPTS	REB	zREB	AST	zAST	STL	zSTL	BLK	zBLK	TO	zTO	TOTAL
72 15	Brook Lopez	C	MIL	68	23.7	0.434	3.7	8.6	-0.48	0.863	1.6	1.9	0.75	1.5	-0.08	10.6	-0.39	3.8	-0.46	1.3	-0.68	0.6	-0.77	2.0	3.33	0.9	0.86	2.09
73 16	Jeremy Lamb	SG,SF	IND	58	26.7	0.461	5.1	11.1	0.08	0.887	2.8	3.1	1.58	1.6	0.09	14.6	0.26	3.8	-0.48	1.9	-0.37	1.1	0.32	0.4	-0.26	1.0	0.73	1.96
74 16	Duncan Robinson	SG,SF	MIA	70	30.2	0.468	4.5	9.6	0.25	0.902	0.9	1.0	0.55	3.8	2.62	13.7	0.11	3.2	-0.74	1.7	-0.43	0.7	-0.67	0.3	-0.56	0.9	0.79	1.92
75 10	Malik Beasley	PG,SG	MIN	64	29.8	0.457	7.4	16.2	-0.07	0.846	2.2	2.5	0.83	2.5	1.09	19.5	1.01	3.7	-0.50	2.0	-0.30	1.0	0.20	0.2	-0.82	1.3	0.34	1.78
76 1	Kevin Love	PF,C	CLE	54	29.5	0.454	5.3	11.7	-0.10	0.864	3.0	3.5	1.43	2.4	0.94	16.0	0.48	7.9	1.17	2.7	0.11	0.5	-1.02	0.3	-0.56	2.3	-0.80	1.65
77 18	Andre Drummond	C	CLE	70	27.2	0.535	6.6	12.4	2.37	0.567	2.2	3.9	-3.50	0.1	-1.62	15.6	0.40	12.7	3.11	1.8	-0.38	1.5	1.37	1.4	1.98	3.4	-2.12	1.61
78 20	Ja Morant	PG	MEM	58	32.1	0.474	7.0	14.8	0.58	0.784	3.8	4.9	0.28	1.3	-0.31	19.0	0.95	4.0	-0.39	7.7	2.94	1.1	0.35	0.3	-0.54	3.5	-2.28	1.58
79 5	Eric Bledsoe	PG,SG	NOP	62	29.0	0.475	5.7	11.9	0.52	0.802	2.9	3.6	0.49	1.2	-0.33	15.4	0.38	4.8	-0.06	5.1	1.49	1.1	0.45	0.4	-0.33	2.5	-1.06	1.56
80 3	Wendell Carter Jr.	C	CHI	67	32.6	0.508	4.6	9.0	1.15	0.742	2.9	3.9	-0.49	0.2	-1.52	12.3	-0.12	9.9	1.97	1.3	-0.67	0.9	-0.10	1.2	1.52	1.8	-0.24	1.50
81 24	Justin Holiday	SG,SF	IND	67	28.5	0.425	3.4	8.1	-0.63	0.766	0.9	1.1	-0.06	2.2	0.78	10.0	-0.48	3.9	-0.42	1.6	-0.51	1.5	1.37	0.7	0.42	0.7	1.02	1.48
82 1	Kemba Walker	PG	BOS	48	29.2	0.424	5.8	13.7	-1.17	0.863	3.3	3.8	1.54	2.8	1.45	17.7	0.74	3.4	-0.65	3.7	0.69	0.8	-0.32	0.4	-0.42	2.0	-0.46	1.41
83 20	Maxi Kleber	PF,C	DAL	70	27.1	0.491	3.7	7.4	0.65	0.834	1.2	1.5	0.37	1.8	0.32	10.3	-0.42	5.6	0.27	1.4	-0.60	0.3	-1.51	1.2	1.54	0.9	0.79	1.40
84 11	Keldon Johnson	SF	SAS	60	27.8	0.477	5.0	10.5	0.50	0.803	3.4	4.2	0.61	1.5	0.00	14.9	0.30	5.5	0.20	1.5	-0.59	1.3	0.94	0.2	-0.91	1.3	0.34	1.39
85 20	Lonzo Ball	PG,SG	NOP	67	33.1	0.405	4.5	11.0	-1.45	0.581	0.7	1.2	-1.07	2.4	0.96	12.0	-0.16	6.3	0.53	7.1	2.61	1.5	1.54	0.6	0.16	3.1	-1.81	1.32
86 22	De'Aaron Fox	PG	SAC	65	33.6	0.461	7.8	16.9	0.11	0.719	4.9	6.8	-1.51	1.2	-0.42	21.6	1.35	4.1	-0.35	6.4	2.21	1.5	1.46	0.8	0.47	3.3	-2.01	1.30
87 5	Tyrese Haliburton	PG,SG	SAC	64	26.4	0.464	4.5	9.7	0.16	0.814	1.4	1.7	0.29	2.1	0.70	12.5	-0.08	3.4	-0.65	4.8	1.28	1.2	0.79	0.3	-0.63	2.1	-0.66	1.20
88 16	Zion Williamson	PF	NOP	60	31.5	0.586	10.0	17.0	5.41	0.649	5.4	8.4	-4.43	0.4	-1.26	25.8	2.02	7.8	1.15	2.5	0.02	0.9	-0.10	0.6	0.00	3.0	-1.68	1.13
89 23	Julius Randle	PF,C	NYK	65	32.2	0.463	7.3	15.8	0.19	0.727	4.4	6.0	-1.13	1.3	-0.25	20.3	1.15	10.4	2.19	5.4	1.63	0.9	-0.10	0.3	-0.54	3.3	-2.05	1.08
90 19	Terrence Ross	SG,SF	ORL	67	27.4	0.433	5.9	13.6	-0.85	0.852	2.3	2.7	0.95	2.6	1.22	16.7	0.58	3.2	-0.72	1.2	-0.73	1.1	0.45	0.3	-0.58	1.0	0.70	1.01
91 17	Otto Porter Jr.	SF,PF	CHI	50	28.4	0.457	5.2	11.3	0.00	0.784	1.6	2.1	0.09	1.9	0.42	13.8	0.13	3.8	-0.46	2.1	-0.23	1.2	0.67	0.5	-0.16	1.1	0.53	0.99
92 1	Robert Covington	PF,C	POR	64	32.8	0.423	3.4	8.0	-0.68	0.878	0.7	0.8	0.35	1.8	0.31	9.3	-0.59	6.0	0.40	1.5	-0.54	1.6	1.61	0.7	0.35	1.8	-0.23	0.98
93 13	JJ Redick	SG	NOP	64	26.4	0.456	4.9	10.7	-0.03	0.898	2.8	3.1	1.74	3.2	1.92	15.8	0.44	2.6	-0.95	2.1	-0.24	0.3	-1.51	0.2	-0.79	1.3	0.40	0.97
94 6	Alec Burks	SG,SF	NYK	60	29.7	0.425	5.6	13.1	-1.06	0.880	2.8	3.2	1.51	2.0	0.50	15.9	0.45	4.2	-0.33	3.1	0.32	1.0	0.15	0.3	-0.61	1.6	0.00	0.95
95 16	Draymond Green	PF,C	GSW	67	31.2	0.423	3.3	7.7	-0.64	0.736	1.5	2.0	-0.33	0.9	-0.78	8.9	-0.65	6.6	0.64	6.1	2.01	1.4	1.14	0.9	0.70	2.5	-1.14	0.94
96 4	Evan Fournier	SG,SF	ORL	67	31.1	0.448	6.0	13.5	-0.34	0.817	2.7	3.3	0.65	2.6	1.25	17.4	0.68	2.6	-0.97	3.2	0.38	1.1	0.42	0.2	-0.82	1.9	-0.36	0.90
97	De'Andre Hunter	SF,PF	ATL	68	30.1	0.456	5.8	12.7	-0.06	0.813	1.9	2.4	0.41	2.3	0.82	15.7	0.43	5.2	0.08	2.3	-0.14	0.9	-0.02	0.4	-0.40	1.8	-0.24	0.89
98 4	Buddy Hield	SG	SAC	70	32.6	0.445	6.2	14.0	-0.44	0.840	1.4	1.6	0.47	3.4	2.17	17.3	0.67	3.9	-0.42	2.6	0.04	0.8	-0.35	0.2	-0.89	2.0	-0.47	0.79
99 8	Rui Hachimura	SF,PF	WAS	67	32.4	0.467	5.6	12.0	0.27	0.827	2.8	3.4	0.82	0.8	-0.88	14.8	0.27	7.0	0.84	2.1	-0.24	1.0	0.25	0.2	-0.75	1.4	0.18	0.76
100 12	Mike Conley	PG	UTA	58	33.8	0.427	5.6	13.1	-0.99	0.823	2.9	3.5	0.79	2.3	0.92	16.4	0.53	3.7	-0.50	5.1	1.49	1.1	0.42	0.1	-1.00	2.3	-0.90	0.76
101 10	Larry Nance Jr.	PF,C	CLE	56	26.2	0.526	3.6	6.9	1.18	0.698	0.8	1.2	-0.40	0.9	-0.71	8.9	-0.64	4.7	-0.11	2.5	-0.01	1.4	1.24	0.4	-0.33	1.1	0.54	0.76
102 12	Daniel Theis	C	BOS	70	26.1	0.553	3.6	6.4	1.55	0.729	1.2	1.7	-0.33	0.5	-1.20	8.8	-0.66	6.1	0.46	1.5	-0.57	0.6	-0.84	1.2	1.45	0.8	0.89	0.75
103 10	Davis Bertans	PF,C	WAS	60	27.1	0.434	4.2	9.8	-0.57	0.824	1.6	2.0	0.44	3.2	1.91	13.3	0.05	3.9	-0.44	1.5	-0.58	0.6	-0.77	0.5	-0.07	1.0	0.76	0.73
104 5	Serge Ibaka	PF,C	LAC	62	28.2	0.509	6.3	12.3	1.55	0.694	1.6	2.3	-0.80	1.3	-0.25	15.4	0.38	8.3	1.33	1.4	-0.62	0.5	-1.04	0.8	0.61	2.0	-0.52	0.63
105 7	Terry Rozier	PG	CHA	70	27.8	0.439	6.0	13.7	-0.66	0.844	2.3	2.8	0.88	2.8	1.40	17.1	0.64	3.7	-0.52	3.0	0.27	1.0	0.10	0.2	-0.89	2.1	-0.59	0.62
106 2	Steven Adams	C	NOP	70	27.4	0.592	4.6	7.8	2.63	0.591	2.0	3.3	-2.62	0.0	-1.75	11.2	-0.29	9.4	1.81	2.4	-0.08	0.8	-0.25	1.1	1.35	1.8	-0.20	0.60
107 11	Josh Richardson	SG,SF	DAL	66	32.3	0.439	5.3	12.1	-0.55	0.807	2.3	2.8	0.43	2.1	0.59	14.9	0.30	3.3	-0.66	2.7	0.12	1.1	0.45	0.8	0.63	2.2	-0.74	0.57
108 4	Harrison Barnes	SF,PF	SAC	70	33.8	0.470	5.9	12.6	0.38	0.812	2.9	3.6	0.65	1.4	-0.13	16.2	0.50	5.8	0.35	2.8	0.18	0.6	-0.84	0.2	-0.84	1.4	0.19	0.43
109 6	Nemanja Bjelica	PF	SAC	70	24.2	0.483	3.8	8.0	0.52	0.813	0.9	1.1	0.16	1.7	0.15	10.2	-0.44	5.5	0.21	2.4	-0.03	0.7	-0.55	0.5	-0.07	1.2	0.43	0.39
110	Aaron Gordon	SF,PF	ORL	68	32.5	0.439	5.5	12.6	-0.59	0.712	2.6	3.7	-0.96	1.4	-0.13	15.1	0.32	7.9	1.17	3.8	0.72	0.8	-0.25	0.6	0.14	1.6	-0.06	0.38
