PLAYER	POS	TEAM	GP	MPG	FGM	FGA	FTM	FTA	3PM	PTS	TREB	AST	STL	BLK	TO	TOTAL
Cameron Johnson	SF,PF	PHX	64	24.2	3.4	7.8	0.9	1.1	2.1	9.8	3.5	1.3	0.7	0.4	1.2
Shake Milton	PG,SG	PHI	60	24.7	4.0	8.9	1.6	2.0	1.7	11.3	2.7	3.2	0.6	0.3	1.5
Cam Reddish	SF,PF	ATL	68	27.3	4.5	10.7	2.0	2.5	1.7	12.6	3.5	1.3	1.1	0.5	1.9
Goran Dragic	PG,SG	MIA	48	26.5	5.1	11.6	3.0	4.0	2.0	15.1	3.0	4.8	0.7	0.2	2.4
Darius Garland	PG	CLE	70	31.6	5.7	13.3	1.6	1.8	2.3	15.2	2.1	4.4	0.9	0.1	2.9
De'Anthony Melton	PG,SG	MEM	68	20.2	2.8	6.9	1.7	2.1	0.8	8.1	3.8	3.0	1.3	0.3	1.4
Frank Ntilikina	PG,SG	NYK	68	24.6	2.8	6.8	1.1	1.3	1.2	7.8	2.5	3.6	1.1	0.4	1.5
Daniel Gafford	C	CHI	56	15.5	2.8	4.2	0.9	1.6	0.0	6.5	4.7	0.6	0.4	1.4	0.9
Tomas Satoransky	PG,SG	CHI	67	24.6	3.2	7.4	1.4	1.7	1.0	8.8	3.3	4.0	1.1	0.1	1.9
Jabari Parker	SF,PF	SAC	50	17.1	4.1	8.0	1.1	1.5	0.7	9.9	4.4	1.2	0.9	0.3	1.2
Dillon Brooks	SG,SF	MEM	70	28.7	6.0	14.5	2.2	2.8	2.0	16.1	3.3	2.1	0.9	0.4	1.7
Marquese Chriss	PF,C	GSW	44	14.4	2.6	4.7	1.4	1.9	0.1	6.7	4.5	1.4	0.5	0.8	0.9
Vincent Poirier	C	OKL	54	19.1	2.5	5.2	1.0	1.2	0.0	6.0	6.3	1.2	0.3	1.2	1.2
Luke Kennard	SG,SF	LAC	50	22.9	3.7	8.5	1.7	1.9	1.8	11.0	2.5	2.8	0.3	0.1	1.0
Luguentz Dort	SG,SF	OKL	70	28.4	3.7	8.8	1.5	1.9	1.4	10.3	2.8	1.0	1.1	0.4	1.0
Moritz Wagner	PF,C	WAS	58	18.4	3.2	5.8	1.7	2.1	0.6	8.6	4.8	1.2	0.6	0.4	1.5
Spencer Dinwiddie	PG,SG	BRO	64	27.8	5.2	11.8	4.4	5.6	1.6	16.3	2.6	4.9	0.5	0.3	2.5
Tristan Thompson	PF,C	BOS	64	24.4	4.2	8.0	1.4	2.3	0.2	9.9	8.3	1.7	0.5	0.7	1.5
Patty Mills	PG	SAS	60	20.4	3.1	7.4	1.4	1.6	2.0	9.7	1.5	1.7	0.8	0.1	0.8
JaMychal Green	PF,C	DEN	67	20.5	2.6	5.6	0.6	0.8	1.5	7.3	6.0	0.8	0.4	0.4	0.9
Thaddeus Young	PF	CHI	67	20.7	3.7	7.9	0.6	1.0	1.1	9.0	4.2	1.5	1.2	0.3	1.4
George Hill	PG,SG	OKL	64	18.1	2.8	6.3	1.3	1.6	1.3	8.3	2.8	2.9	0.8	0.1	1.0
Jordan McLaughlin	PG	MIN	30	18.4	2.7	5.6	0.9	1.2	0.9	7.3	1.5	4.0	1.0	0.1	0.9
