PLAYER	POS	TEAM	GP	MPG	FG%	FGM	FGA	zFG%	FT%	FTM	FTA	zFT%	3PM	z3PM	PTS	zPTS	REB	zREB	AST	zAST	STL	zSTL	BLK	zBLK	TO	zTO	TOTAL
202	Jae'Sean Tate	SF,PF	HOU	3	22.7	0.499	3.3	6.7		0.40	0.752	1.0	1.3		-0.12	0.7	-0.78	8.3	-0.53	4.3	-0.15	3.3	0.30	1.0	0.44	0.0	-1.07	1.7	-0.22	-1.74
203	Bismack Biyombo	C	PHX	11	11.8	0.555	1.4	2.5		0.42	0.671	0.6	0.8		-0.30	0.0	-1.50	3.3	-1.22	3.3	-0.54	0.5	-1.09	0.3	-1.09	1.7	2.56	0.6	0.97	-1.78
204	Reggie Jackson	PG,SG	LAC	17	29.1	0.446	4.4	9.9		-0.34	0.915	1.3	1.4		0.63	1.5	0.07	11.6	-0.07	2.4	-0.89	4.1	0.69	0.6	-0.44	0.1	-0.85	2.1	-0.65	-1.84
205	Gabe Vincent	PG,SG	MIA	15	26.3	0.415	3.6	8.7		-0.76	0.838	1.4	1.7		0.33	1.6	0.21	10.2	-0.26	2.3	-0.93	3.1	0.20	0.9	0.22	0.1	-0.85	1.5	0.00	-1.85
206	Caris LeVert	SG,SF	CLE	15	33.4	0.373	4.2	11.3		-1.84	0.791	2.3	2.9		0.10	1.7	0.29	12.3	0.03	4.5	-0.08	4.9	1.09	0.7	-0.22	0.1	-0.85	1.9	-0.43	-1.91
207	Edmond Sumner	PG,SG	BRO	14	16.8	0.428	2.6	6.0		-0.37	0.968	2.1	2.2		1.39	0.7	-0.74	8.0	-0.57	1.6	-1.20	1.4	-0.64	1.0	0.44	0.3	-0.43	1.3	0.22	-1.91
208	Klay Thompson	SG,SF	GSW	13	28.9	0.364	5.6	15.5		-2.79	0.813	1.0	1.2		0.14	3.2	1.96	15.5	0.47	3.5	-0.46	2.4	-0.15	0.5	-0.65	0.4	-0.21	1.7	-0.22	-1.92
209	Mo Bamba	C	ORL	16	17.7	0.471	3.1	6.5		0.07	0.650	1.1	1.6		-0.71	1.0	-0.43	8.2	-0.54	4.9	0.08	1.1	-0.79	0.3	-1.09	0.8	0.64	0.8	0.75	-2.01
210	Chuma Okeke	PF	ORL	17	22.3	0.381	1.9	4.9		-0.70	0.758	0.9	1.2		-0.09	1.1	-0.36	5.8	-0.87	4.5	-0.08	1.5	-0.59	0.6	-0.44	0.5	0.00	0.5	1.08	-2.06
211	Naz Reid	C	MIN	11	11.8	0.597	3.1	5.2		1.19	0.717	0.9	1.3		-0.27	0.6	-0.81	7.7	-0.61	2.6	-0.81	0.5	-1.09	0.4	-0.87	0.6	0.21	0.6	0.97	-2.09
212	Justise Winslow	SF,PF	POR	13	26.8	0.387	2.8	7.2		-0.96	0.649	1.0	1.5		-0.67	0.4	-1.09	6.9	-0.72	4.8	0.04	3.6	0.44	1.2	0.87	0.5	0.00	1.5	0.00	-2.09
213	Wenyen Gabriel	PF,C	LAL	12	13.9	0.676	2.3	3.3		1.25	0.800	1.0	1.3		0.08	0.1	-1.41	5.6	-0.90	2.9	-0.70	0.7	-0.99	0.7	-0.22	0.5	0.00	0.8	0.75	-2.13
214	Tyus Jones	PG	MEM	16	23.1	0.450	4.3	9.4		-0.26	0.708	0.8	1.1		-0.26	1.3	-0.10	10.6	-0.21	1.7	-1.16	3.9	0.59	0.6	-0.44	0.1	-0.85	1.1	0.43	-2.25
215	R.J. Hampton	PG,SG	ORL	14	15.3	0.507	2.4	4.8		0.37	0.860	1.3	1.5		0.40	1.0	-0.43	7.1	-0.69	1.4	-1.28	1.2	-0.74	0.8	0.00	0.3	-0.43	1.0	0.54	-2.26
216	Collin Sexton	PG,SG	UTA	18	21.7	0.465	4.4	9.4		-0.02	0.808	3.3	4.1		0.38	1.0	-0.43	13.1	0.14	2.6	-0.81	1.9	-0.40	0.7	-0.22	0.1	-0.85	1.6	-0.11	-2.32
217	Kawhi Leonard	SG,SF	LAC	4	22.2	0.441	3.8	8.5		-0.36	0.769	2.5	3.3		-0.12	0.5	-0.96	10.5	-0.22	4.8	0.04	3.0	0.15	0.8	0.00	0.0	-1.07	1.3	0.22	-2.33
218	Rui Hachimura	SF,PF	WAS	16	23.5	0.481	4.8	9.9		0.24	0.724	1.3	1.8		-0.34	0.8	-0.70	11.6	-0.07	4.8	0.04	1.1	-0.79	0.4	-0.87	0.5	0.00	1.4	0.11	-2.38
219	Joe Harris	SG,SF	BRO	14	26.6	0.396	3.0	7.6		-0.90	0.580	0.3	0.5		-0.33	1.8	0.42	8.1	-0.55	3.4	-0.50	2.1	-0.30	0.5	-0.65	0.3	-0.43	0.7	0.86	-2.40
220	Jeremy Sochan	PF	SAS	16	24.8	0.477	3.3	6.8		0.15	0.691	0.6	0.8		-0.24	0.4	-1.09	7.4	-0.65	4.0	-0.27	1.9	-0.40	0.8	0.00	0.6	0.21	1.6	-0.11	-2.40
