R#	PLAYER	POS	TEAM	GP	MPG	FG%	FT%	3PM	PTS	TREB	AST	STL	BLK	TO
167	Keldon Johnson 	SF	SAS	40	21.1	1.26	0.40	-0.65	-0.39	-0.29	-0.74	0.15	-0.98	0.70
168	Robert Williams	C	BOS	24	14.2	1.96	-0.55	-1.73	-1.29	-0.21	-0.84	-0.24	1.49	0.99
169	James Johnson 	PF,C	DAL	60	24.7	0.08	-0.63	-0.10	-0.64	-0.11	-0.27	-1.02	1.42	0.33
170	Josh Okogie	SG,SF	MIN	68	25.3	-0.28	0.42	-0.69	-0.61	-0.17	-0.44	0.82	-0.31	0.16
171	Cam Reddish	SF,PF	ATL	68	27.3	-1.00	0.33	0.22	-0.11	-0.51	-0.59	0.46	0.02	-0.39
172	Obi Toppin	SF,PF	NYK	67	27.4	0.64	-0.86	-0.68	0.08	0.42	-0.82	-0.60	0.58	-0.09
173	Svi Mykhailiuk	SF	DET	67	26.8	-0.64	0.28	1.16	-0.28	-0.95	-0.01	0.00	-0.96	0.19
174	Kendrick Nunn	PG,SG	MIA	60	26.5	-0.47	0.56	0.33	0.08	-0.93	0.31	-0.41	-0.84	0.01
175	Danny Green	SG,SF	PHI	70	24.9	-0.69	-0.19	0.44	-0.79	-0.54	-0.61	0.75	0.05	0.76
176	Gary Trent Jr.	SG,SF	POR	64	26.4	-0.23	0.09	0.81	-0.57	-1.12	-0.65	0.58	-0.38	0.28
177	Tomas Satoransky	PG,SG	CHI	67	24.6	-0.35	0.42	-0.58	-0.69	-0.60	0.88	0.53	-0.98	-0.35
178	Dario Saric	PF,C	PHX	60	22.1	0.38	0.50	-0.14	-0.55	0.31	-0.40	-0.85	-0.79	0.28
179	Derrick Favors	PF,C	UTA	60	18.6	2.06	-0.96	-1.73	-0.98	0.97	-0.65	-1.04	0.58	0.82
180	Anthony Edwards	SG	MIN	64	28.2	-1.57	0.10	0.17	0.40	-0.34	-0.13	0.77	-0.77	-0.70
181	Caris LeVert	SG,SF	BRO	58	29.2	-0.83	-1.09	0.10	0.57	-0.43	0.57	0.53	-0.74	-1.04
